    Wavelength  Flux
    microns     Jy
   50.7191  844.7961
   50.8461  847.0851
   50.9734  849.3604
   51.1009  850.9098
   51.2289  851.7551
   51.3571  852.4777
   51.4856  853.2860
   51.6145  853.6733
   51.8732  864.1201
   52.0031  864.2355
   52.1333  864.8062
   52.2638  866.5569
   52.3946  866.7638
   52.5257  867.0125
   52.6572  867.6016
   52.7890  868.9865
   52.9212  871.2959
   53.0536  873.2841
   53.1864  873.7893
   53.3196  874.2728
   53.4530  875.9218
   53.5868  877.2850
   53.7210  877.3123
   53.8554  877.0172
   53.9902  875.7803
   54.1254  876.4147
   54.2609  879.1230
   54.3967  880.4882
   54.5328  878.8412
   54.6693  876.2575
   54.8062  875.7712
   54.9434  877.4080
